gene,pval,logFC,pct_good,pct_bad,padj,cluster,sig
NR4A2,3.39955762699766e-53,2.67954590157003,0.866,0.457,1.53211263133531e-48,0,TRUE
DUSP6,4.43561291486476e-53,2.58163753293024,0.882,0.471,1.99904202847125e-48,0,TRUE
IER2,1.12202255582829e-52,1.65755467797728,0.968,0.846,5.05673125460692e-48,0,TRUE
FOSL1,1.46575590758005e-52,-4.74899050978625,0.025,0.524,6.60586872428177e-48,1,TRUE
IGHM,2.82669069947995e-52,3.26648342084404,0.839,0.364,1.27393296444162e-47,2,TRUE
FOS,2.93777733906572e-52,1.55219183419185,1,0.827,1.32399749117014e-47,0,TRUE
NR4A2,5.94782814950664e-52,2.75320157928811,0.769,0.374,2.68056719041965e-47,1,TRUE
PNO1,9.01389797518153e-52,-2.84607804968392,0.113,0.671,4.06238353945481e-47,1,TRUE
LAD1,9.38725239784237e-52,-2.09929682078953,0.256,0.815,4.2306469106596e-47,1,TRUE
FOS,1.54066518652936e-51,1.86614663392907,0.996,0.754,6.9434698626505e-47,2,TRUE
ANXA1,2.36147990820556e-51,-2.20359779754444,0.912,0.995,1.06427176503008e-46,0,TRUE
A2M,3.01652935231942e-51,3.37531308636916,0.702,0.224,1.35948944850332e-46,1,TRUE
DUSP6,5.44637783154788e-51,2.21311099421351,0.84,0.588,2.454573561122e-46,1,TRUE
SERPINB1,6.65588392980991e-51,-3.04483669359483,0.606,0.928,2.99967376948673e-46,0,TRUE
DDX21,2.32693701034282e-50,-2.08088703158843,0.416,0.853,1.0487039718213e-45,1,TRUE
NOP16,4.53413805636162e-50,-2.51590135268082,0.173,0.716,2.04344533924106e-45,1,TRUE
S100A14,9.1779394139254e-50,-2.23377215527393,0.706,0.976,4.1363137350679e-45,0,TRUE
BPIFB1,1.44806372788941e-49,5.50045506313662,0.729,0.106,6.52613360885199e-45,0,TRUE
KRT13,1.68849146982772e-49,-6.6203314511265,0.008,0.466,7.60969335621957e-45,1,TRUE
CYR61,2.08411244437399e-49,2.06669762047845,0.933,0.639,9.3926779643047e-45,0,TRUE
DKK1,2.16957319062621e-49,-9.26848289125518,0,0.438,9.77783245551422e-45,0,TRUE
MUC5AC,2.77999210095584e-49,4.55427461073309,0.734,0.096,1.25288684005878e-44,0,TRUE
CEMIP,3.39014169096962e-49,-3.43520922383207,0.043,0.546,1.52786905728619e-44,1,TRUE
JUN,7.07402094577348e-49,2.13590951174164,0.982,0.759,3.18811975984119e-44,2,TRUE
LMNA,2.47402765696504e-48,-2.07057979658239,0.663,0.978,1.114994784441e-43,2,TRUE
SFN,2.9532981585948e-48,-2.4832737352287,0.724,0.987,1.3309924141155e-43,2,TRUE
SH3BGRL3,5.08303552625775e-48,-1.83272167524647,0.88,0.986,2.29082245097384e-43,0,TRUE
IER2,2.40902730790606e-47,2.30620223655561,0.918,0.645,1.0857004271271e-42,2,TRUE
LAD1,2.87897203055098e-47,-2.40676381275256,0.289,0.817,1.29749511472872e-42,0,TRUE
PLAU,6.20868713764395e-47,-3.45409219283536,0.063,0.562,2.79813111919338e-42,1,TRUE
ANXA2,9.35790710072057e-47,-1.7388813962446,0.932,0.996,4.21742157215274e-42,2,TRUE
SERPINB1,1.16782754609311e-46,-2.91311387412695,0.243,0.744,5.26316518473242e-42,1,TRUE
HES1,1.53435586786681e-46,1.98861255543782,0.887,0.7,6.91503502530213e-42,1,TRUE
S100A16,1.60946050868428e-46,-2.31107729808412,0.775,0.986,7.25351662053832e-42,0,TRUE
MTHFD2,2.22306402190008e-46,-3.16503913891648,0.038,0.521,1.00189049338993e-41,1,TRUE
JUN,1.27275787932202e-45,1.49786869046825,0.991,0.841,5.7360652105285e-41,0,TRUE
IGLC2,5.51350981953147e-45,2.43465659761988,0.792,0.341,2.48482860546645e-40,0,TRUE
TNFRSF12A,1.07109495749349e-44,-3.53345799805349,0.194,0.781,4.82721075443168e-40,2,TRUE
TACSTD2,2.23441058705193e-44,-1.34568881013625,0.96,1,1.00700416337256e-39,1,TRUE
CTSV,2.6482187598533e-44,-2.61253141813438,0.195,0.706,1.19349923069068e-39,1,TRUE
ZNF593,2.93391131407946e-44,-1.72843084224414,0.396,0.879,1.32225515102933e-39,1,TRUE
EGR2,3.03665826624566e-44,2.84986232134678,0.692,0.252,1.3685611474316e-39,1,TRUE
GNA15,3.57856406898172e-44,-2.8391364992312,0.085,0.572,1.61278725460868e-39,1,TRUE
TM4SF1,5.75365326910481e-44,-3.41209333664065,0.405,0.865,2.59305645532016e-39,0,TRUE
CXCL1,6.80640407788101e-44,1.61427442526367,0.952,0.76,3.06751018981942e-39,1,TRUE
MAP2K3,6.86083945380444e-44,-2.3698881682769,0.17,0.693,3.09204312504059e-39,1,TRUE
LGALS7B,9.81743666499473e-44,-1.82863405677699,0.551,0.911,4.42452235617983e-39,1,TRUE
GJB3,1.45782243137666e-43,-2.55380879940306,0.105,0.601,6.57011413372833e-39,1,TRUE
EMP1,1.88324199352677e-43,-3.58718723767176,0.424,0.861,8.48739501642644e-39,0,TRUE
HES1,2.02937924719479e-43,1.4603302651956,0.984,0.904,9.1460063912575e-39,0,TRUE
TUBB6,2.98844203288354e-43,-3.56207383076164,0.04,0.492,1.34683105537996e-38,1,TRUE
SERPINB5,3.41697041264098e-43,-2.46488395916916,0.426,0.865,1.53996022556904e-38,0,TRUE
BPIFB1,5.21120933223745e-43,4.80110643300345,0.529,0.058,2.34858782185277e-38,1,TRUE
TOMM40,5.75154477275193e-43,-2.13941395906085,0.203,0.712,2.59210619818384e-38,1,TRUE
SERPINB4,8.18019168610727e-43,-2.40773306284504,0.183,0.681,3.68664878909483e-38,1,TRUE
EGR2,1.46243865373976e-42,3.33885502456213,0.731,0.202,6.59091852467437e-38,0,TRUE
IGFBP2,2.10337336363272e-42,1.70716434195003,0.88,0.812,9.47948307521995e-38,0,TRUE
LY6D,2.89782242057832e-42,-4.06528293650922,0.194,0.697,1.30599060850624e-37,0,TRUE
HMGA1,3.87389452988347e-42,-1.78692443719361,0.671,0.942,1.74588678672788e-37,0,TRUE
IGLC2,7.74193385769012e-42,3.25781066885964,0.632,0.217,3.48913475098378e-37,1,TRUE
GADD45B,8.29924827993917e-42,1.66631242895587,0.922,0.827,3.74030521480299e-37,1,TRUE
TNFRSF12A,8.47142530908582e-42,-3.25423743508108,0.324,0.774,3.8179019582988e-37,0,TRUE
TRIM47,2.5099057035354e-41,-2.04167652155608,0.168,0.69,1.13116430246933e-36,1,TRUE
CEBPD,3.00209774410568e-41,1.47476291958303,0.954,0.817,1.35298541131355e-36,0,TRUE
RRP9,3.0910986044409e-41,-2.7504215752276,0.085,0.553,1.39309631904943e-36,1,TRUE
HN1,3.40521842173906e-41,-1.42493214337608,0.782,0.976,1.53466383830936e-36,0,TRUE
EHD1,3.42738580874111e-41,-3.44882225087661,0.045,0.482,1.54465423628344e-36,1,TRUE
ODC1,3.50512941180435e-41,-2.53067970591762,0.14,0.626,1.57969172331198e-36,1,TRUE
CD74,4.04268456381327e-41,1.22520030314078,0.977,0.933,1.82195707921937e-36,1,TRUE
MGP,4.35056642167054e-41,2.38419385142843,0.771,0.389,1.96071327491848e-36,0,TRUE
COL17A1,5.53253633653074e-41,-2.71158590996694,0.151,0.763,2.49340347614768e-36,2,TRUE
CEMIP,8.15193118990181e-41,-4.03258776853353,0.032,0.457,3.67391234866495e-36,0,TRUE
JCHAIN,9.16547307658103e-41,3.51845921377148,0.674,0.13,4.13069540615354e-36,0,TRUE
KRT6A,1.34349597806699e-40,-6.75220887931585,0.037,0.769,6.05486767395233e-36,11,TRUE
