pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_APOPTOSIS,0.0438902012626734,0.104500479196841,0.321775918075361,0.272713683945388,1.25577171337239,154,DCN|BTG2|LUM|BGN|CD2|PDGFRB|GADD45B|EGR3|ATF3|GPX3|JUN|TIMP3|BIRC3|MMP2|PLPPR4|TNF|RHOB|PLCB2|CD69|SMAD7|NEDD9|TIMP2|IRF1|DDIT3|BMF|HMGB2|CDKN1B
HALLMARK_KRAS_SIGNALING_DN,0.0460947503201024,0.104760796182051,0.237793834423688,-0.327472176035982,-1.31651481563555,139,KRT13|SERPINB2|SPRR3|ADRA2C|AKR1B10|CCNA1|SOX10|LGALS7|CKM|NOS1|LYPD3|KRT4|ALOX12B|SMPX|KLK7|SLC5A5|OXT|NRIP2|TGM1|KRT5|KCNE2|IL5|MEFV
HALLMARK_COAGULATION,0.0527835601555762,0.114746869903427,0.321775918075361,0.289063037689126,1.26822392807999,113,DUSP6|A2M|C1QA|GP1BA|C1S|C3|F10|CTSK|DCT|ANG|FN1|APOC1|TIMP3|PECAM1|MMP2|FYN|SERPING1|SERPINA1|PLEK|OLR1|MMP9|C1R|VWF|F3|MST1|LRP1|SPARC|CAPN5|FBN1|F8|RGN|PDGFB|CPQ|CTSO|PRSS23|MSRB2|PLG|HTRA1|CFH|CFD
HALLMARK_NOTCH_SIGNALING,0.0559942568897032,0.116654701853548,0.321775918075361,0.417154852059626,1.43942746095332,31,LFNG|HES1|DLL1|ARRB1|PRKCA|ST3GAL6|PSEN2|FZD7|HEYL
HALLMARK_MYOGENESIS,0.0694605441723112,0.138921088344622,0.287805130535564,0.260492956524182,1.21478396005243,166,GADD45B|SOD3|APOD|GPX3|CASQ2|APLNR|KCNH1|CTF1|FHL1|COL1A1|SSPN|COL6A2|COL3A1|MYH11|TAGLN|MEF2C|BHLHE40|IGF1|CRYAB|DES|COL6A3|AEBP1|NCAM1|PGAM2|SH3BGR|SGCD|COL15A1|PDE4DIP|SPARC|LAMA2|ITGA7|MYOZ1|NQO1|FXYD1|PSEN2|OCEL1|PKIA|DMD|MYLK|CFD|SPDEF|LDB3|RYR1|MB|TCAP
HALLMARK_IL2_STAT5_SIGNALING,0.0766393464409544,0.147383358540297,0.287805130535564,0.256368430199324,1.20787190925046,191,LTB|CD86|IL10RA|SLC2A3|GADD45B|CD79B|RHOH|TNFRSF9|ADAM19|ITIH5|NFKBIZ|CD48|TNFRSF1B|TNFRSF8|DRC1|TGM2|SELL|CST7|TNFRSF4|RHOB|PLIN2|CXCL10|BHLHE40|CDKN1C|ARL4A|SPP1|BCL2|FGL2|GALM|IRF8|MAP6|COL6A1|NFIL3|CTLA4|LRIG1|TRAF1|CSF2|SHE|SYT11|IRF4|CCR4|SOCS1|ICOS
HALLMARK_DNA_REPAIR,0.104607721046077,0.19371800193718,0.151148761385484,-0.302664207133621,-1.22549457945296,146,RAD51|PNP|NME1|TYMS|ZWINT|STX3|RFC3|FEN1|UMPS|ERCC1|POLR2H|TAF9|NCBP2|CLP1|HPRT1|POLR1C|RFC2|POLR2E|SAC3D1|ITPA|POLB|NELFB|SNAPC4|RALA|SEC61A1|NELFE|TAF13|CSTF3|RAE1|DGCR8|TP53|LIG1|POLR2I|GTF2H3|IMPDH2|POM121|GUK1|ERCC8|TAF1C|ELL|POLR2F|RFC5|PCNA|AK3|ZNF707|POLD1|GTF3C5|SSRP1|POLR2D|TAF10|ADRM1|NELFCD|RBX1|POLR1D|ALYREF|SF3A3|POLR2K|NT5C3A|CETN2|POLR2G|GTF2A2|RPA3|DCTN4|VPS37B|CDA|SUPT5H|SNAPC5|GTF2H1|MPG|NUDT21|CANT1
HALLMARK_PEROXISOME,0.250666666666667,0.404301075268817,0.0949751525905595,-0.291774776380858,-1.11633986275851,98,ABCC8|SLC25A19|CTPS1|ABCD2|ESR2|CRABP2|SERPINA6|HSD11B2|CRABP1|ABCB4|IDH1|ERCC1|SMARCC1|CLN6|HSD3B7|ELOVL5|CDK7|PRDX1|ITGB1BP1|ACSL4|CRAT|ACAA1|ACOT8|YWHAH|SOD2|SCP2|MVP|ISOC1|SLC25A17|HRAS
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.242627345844504,0.404301075268817,0.0972150808846466,-0.292510420681226,-1.12276374900095,100,TIAM1|SFN|MAP2K3|E2F1|TRIB3|MYD88|CAB39|ACACA|AKT1|CDK2|ACTR3|NFKBIB|DAPP1|CALR|RALB|SLC2A1|EIF4E|UBE2N|TRAF2|GNGT1|AKT1S1|RPS6KA3|ARHGDIA|CLTC|MAPKAP1|CFL1|MAPK1|PFN1|TNFRSF1A|PLA2G12A|PPP1CA|DUSP3|CDK4|HRAS|ARF1|MAPK10|ARPC3|YWHAB|RAC1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.228047182175623,0.404301075268817,0.0995791200495904,-0.294180629759574,-1.14080905752435,106,SLC7A5|MTHFD2|RRP9|EIF4EBP1|NOP14|NOP56|TATDN2|DKC1|EXOSC4|EIF2S1|TUBB2A|EIF4A1|NABP1|NOLC1|SHC1|GOSR2|NHP2|EXOSC2|EIF4G1|SPCS3|CEBPG|BAG3|ALDH18A1|CALR|EIF4E|EIF4A3|YWHAZ|ATF6|POP4|ERO1A|KHSRP|EXOSC5|EDEM1|ATF4|SDAD1|GEMIN4|SRPRB|BANF1|HYOU1|HSPA9|ASNS|ZBTB17|IMP3|NFYB|DDX10|NPM1|EXOSC9|DCTN1|SRPRA|YIF1A
