pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_HYPOXIA,0.889110889110889,1,0.0161121851693944,-0.324670871292015,-0.85723440527907,185,PGAM2|PCK1|SLC2A5|ALDOA|STC2|MIF|CXCR4|NDST2|ANGPTL4|SERPINE1|CHST2|HMOX1|ISG20|PLAUR|BGN|HK2|SCARB1|ERRFI1|INHA|SLC2A3|NOCT|B4GALNT2|DPYSL4|KLF6|TGFB3|ENO2|LDHC|ATF3|ADM|PGF|ETS1|PDK1|MAFF|CSRP2|VEGFA|FOSL2|STC1|F3|PDGFB|EDN2|MT2A|KDELR3|CA12|SDC2|MYH9|LOX|ANXA2|PFKFB3|PGK1|DCN|CDKN1A|PFKL|NDRG1|IRS2|TPST2|LDHA
HALLMARK_IL2_STAT5_SIGNALING,0.387612387612388,1,0.0573667426768556,-0.392700898554094,-1.03723439656478,191,TLR7|CCR4|IL1RL1|GPR83|IRF4|CTLA4|IL1R2|CD86|ICOS|ADAM19|EMP1|EOMES|S100A1|TNFRSF4|SYT11|LRRC8C|IL10RA|CST7|NOP2|CD79B|SOCS2|COCH|LTB|IRF8|CD48|HK2|PHLDA1|SELL|SLC2A3|TNFRSF9|APLP1|IL2RA|ETV4|ITIH5|GPR65|CA2|KLF6|RHOH|CAPN3|ABCB1|FLT3LG|BATF3|IL3RA|MAFF|F2RL2|UCK2|SELP|TNFRSF1B|SHE|ODC1|SMPDL3A|PNP|PRAF2|MAP3K8|MUC1|AHR|SYNGR2|RGS16|BATF|DRC1|IFITM3|PRKCH|XBP1|MAPKAPK2|CCNE1|CISH|TNFRSF21|CCND3|MYC|NDRG1|DENND5A|GBP4|PTGER2|SLC39A8|PLSCR1|IFNGR1|CASP3|SCN9A|PLPP1|IL18R1|SH3BGRL2|FGL2|FURIN|TNFRSF8|PTRH2|ITGAE|CDC42SE2|DCPS|ITGA6|CDC6|PIM1|PENK|BCL2L1|ECM1
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.142284569138277,1,0.112378519110475,-0.459788687212132,-1.1909169612852,80,PIK3R5|ITGB3|PLA2G2A|IL12RB1|IL9R|TNFRSF12A|CCR1|IL1R2|CNTFR|PF4|CXCL11|IL10RB|HMOX1|LTB|CD38|ITGA4|IL2RA|CD36|TNF|IL2RG|IL3RA|CSF2RB|TNFRSF1B|IL17RB|MAP3K8|BAK1|ACVRL1
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.923076923076923,1,0.0131702144400005,-0.314251189790752,-0.830323660195561,192,TNFAIP6|KLRK1|CMKLR1|ZBP1|SLAMF7|IRF4|GZMA|CD86|IDO1|CCL2|OASL|ITGB7|CCL5|CXCL11|IL10RA|RNF31|XCL1|ISG20|CD69|IRF8|LCP2|CD38|PSMB10|PTGS2|HLA-G|MTHFD2|GCH1|CFB|UPP1|GPR18|VCAM1|PLA2G4A|NUP93|CSF2RB|SELP|PNP|TAP1|PSMA2|MT2A|BST2|IRF7|RIPK2|NLRC5|IFITM3|C1S|HLA-DQA1|B2M|CDKN1A|PELI1|PDE4B|SOD2|IFNAR2|IL18BP|GBP4|IFITM2|ST8SIA4|PLSCR1|CASP3|TAPBP|LATS2|MYD88|HLA-DRB1|TNFAIP3|TNFAIP2|HLA-A|HIF1A|PSME2|FGL2|PFKP
HALLMARK_KRAS_SIGNALING_DN,0.985,1,0.00581457622839549,-0.2494860781868,-0.654897902082006,146,SLC5A5|KCNN1|LGALS7|SLC12A3|TLX1|CD40LG|RYR2|GRID2|OXT|CNTFR|CHST2|INSL5|RGS11|PDCD1|GP2|GPR19|IFNG|EGF|KCNMB1|ATP6V1B1|CCNA1|SERPINB2|KCNE2|GPR3|CKM|PRODH|GP1BA|GDNF|KRT1|EPHA5|YBX2|EDN1|ADRA2C|TENT5C|NR4A2|AKR1B10|C5|TGM1|NRIP2|SGK1|ITGB1BP2|EDN2|ARPP21|SYNPO
HALLMARK_KRAS_SIGNALING_UP,0.22977022977023,1,0.0835990603684159,-0.415326633728979,-1.09567785507563,182,C3AR1|WNT7A|NGF|F13A1|SERPINA3|EREG|CMKLR1|HKDC1|SCG3|TMEM100|EMP1|CCL20|CXCR4|ANGPTL4|PPBP|PRDM1|PLAT|APOD|TMEM176B|IL10RA|IL7R|IGF2|IKZF1|PLAUR|IRF8|ACE|LY96|HDAC9|LCP1|LAT2|HBEGF|CD37|PTGS2|LAPTM5|MAP4K1|PLAU|DOCK2|GNG11|ETV4|ADAM8|TMEM176A|CA2|ADGRA2|TRIB1|KLF4|PIGR|ABCB1|IL2RG|CFB|ALDH1A3|F2RL1|ETS1|PLVAP|PDCD1LG2|ITGBL1|GFPT2|TSPAN7|MMP10|TNFRSF1B|FLT4|ALDH1A2|GPNMB|CLEC4A|PRELID3B|ENG|RGS16|PCSK1N|MMP11|PCP4|KCNN4|ADAM17|VWA5A|ETV1|ST6GAL1|ETV5
HALLMARK_MTORC1_SIGNALING,0.948051948051948,1,0.0106794512946723,-0.30432325102464,-0.804317221189169,195,SLC7A11|ABCF2|ALDOA|SLA|CXCR4|SLC7A5|FADS2|TRIB3|STARD4|ME1|HK2|SLC2A3|CORO1A|MTHFD2|UCHL5|PDK1|RRM2|CYP51A1|TFRC|PNP|EDEM1|RIT1|SDF2L1|STC1|CTH|SCD|TXNRD1|TUBA4A|PGK1|CDKN1A|MLLT11|NMT1|XBP1|PFKL|EIF2S2|TBK1|CDC25A|AURKA|PSME3|HSPE1|HSP90B1|LDHA|YKT6|BUB1|DDX39A|ITGB2|ELOVL5|LDLR|PSMC4|NFKBIB|PNO1|NUPR1|PLK1|ERO1A|FGL2|GLA|PSMG1|SLC1A4|ACLY|SERP1|IFRD1|TOMM40|PPIA|PSMC6|BTG2|CTSC|G6PD|ACTR3|RPN1|SERPINH1|GCLC|PRDX1|BHLHE40|RAB1A|SSR1|CACYBP|EEF1E1|M6PR|TES|MAP2K3|RDH11|UFM1|TUBG1|GAPDH|PSMA4|PSMC2|SKAP2|HMGCS1|PSMD14|PPA1|SORD|CCNG1|FKBP2|RRP9|NUP205|SLC1A5
HALLMARK_MYC_TARGETS_V1,1,1,0,-0.197405879425351,-0.521771413814836,194,U2AF1|CDC20|NOP16|KPNA2|CDC45|MRPL23|CSTF2|ODC1|EIF3J|PSMA2|SNRPG|CTPS1|NME1|EIF2S1|PGK1|SRSF2|DDX21|RPS10|SNRPD1|VBP1|MYC|PABPC4|EIF2S2|PSMB3|HSPE1|LDHA|NOLC1|EIF4A1|HNRNPA1|PSMC4|PRDX4|UBE2E1|RFC4|HDAC2|RANBP1|SNRPD2|EIF4E|DHX15|CYC1|XPOT|NCBP2|CCT3|ACP1|IFRD1|PPIA|CBX3|COX5A|PSMC6|NHP2|SRSF3|ERH|GNL3|PCNA|SNRPB2|PSMD8|SNRPA1|CDK2|TARDBP|PTGES3|POLD2|HNRNPC|TRA2B|RAN|SRM|TFDP1|CCT2|PSMA4|PSMA7|PCBP1|PSMD14|PA2G4|MAD2L1|PSMA1|MCM6|SSB|FBL|VDAC1|C1QBP|RRP9|NPM1|NAP1L1|HDDC2|ILF2|PSMB2|PSMA6|CDK4|PRDX3|RPL34|MCM5|UBE2L3|YWHAE|EIF4G2|YWHAQ|CCNA2|VDAC3|SRSF1|CCT4|UBA2|SSBP1|RPS6|DDX18
HALLMARK_MYC_TARGETS_V2,0.448521916411825,1,0.051530912208539,-0.405424342127478,-1.03290573314355,56,NOP2|NOP16|HK2|SLC19A1|BYSL|PLK4|NDUFAF4|MYBBP1A|NIP7|TFB2M|IPO4|MYC|WDR74|HSPE1|NOLC1|PLK1|NOC4L|PES1|CBX3|WDR43|PPAN|GNL3|MAP3K6|DCTPP1|FARSA|IMP4|SRM|PA2G4|PUS1|SORD|RRP9|NPM1|SUPV3L1|CDK4|DUSP2|TBRG4|MCM5|GRWD1|DDX18|RRP12|PRMT3|RABEPK
HALLMARK_MYOGENESIS,0.837162837162837,1,0.0201218228563507,-0.333287217428107,-0.877392984773181,169,PGAM2|SGCD|DES|ACTN2|GNAO1|STC2|NQO1|HRC|ATP2A1|LDB3|HSPB2|APOD|HSPB8|AK1|COX7A1|CSRP3|SPHK1|CASQ2|HBEGF|ACHE|CD36|CKM|SPDEF|PTGIS|MYBPC3|KCNH1|SMTN|COL4A2|LAMA2|SPARC|TNNC2|AEBP1|MYOM1|TAGLN|DMPK|COL15A1|FST|PTP4A3|RIT1|SGCA|ITGA7|MYLK|CACNA1H|IGFBP7|SYNGR2|SORBS1|SCD|IGF1|MYH9|LSP1|PDLIM7|CDKN1A|CNN3|COL6A2
