orig.ident,nCount_RNA,nFeature_RNA,percent.mt,percent.rb,RNA_snn_res.0.5,seurat_clusters,RedGreen,RNA_snn_res.0.2,RNA_snn_res.0.3,RNA_snn_res.1,RNA_snn_res.0.8,repairment,specimen
s11,4874,1027,9.2531801395158,6.70906852687731,2,2,red,4,4,3,5,bad_repair,s11
s11,10055,2081,11.2381899552461,13.4261561412233,2,2,red,4,4,3,5,bad_repair,s11
s11,18821,4013,12.3319696084161,19.1116306253653,15,15,red,9,9,14,14,bad_repair,s11
s11,19739,4378,14.5954708951821,26.4400425553473,0,0,red,0,0,5,0,bad_repair,s11
s11,8048,1341,9.81610337972167,5.05715705765408,2,2,red,4,4,3,5,bad_repair,s11
s11,9138,3334,9.92558546727949,12.6066973079448,1,1,red,3,3,1,2,bad_repair,s11
s11,5383,1760,15.8461824261564,28.3299275496935,21,21,red,8,12,19,19,bad_repair,s11
s11,12086,2536,11.5836505047162,6.32136356114513,2,2,red,4,4,3,5,bad_repair,s11
s11,8730,1226,22.290950744559,2.86368843069874,2,2,red,4,4,3,5,bad_repair,s11
s11,20655,1865,10.0992495763738,4.05228758169935,2,2,red,4,4,12,12,bad_repair,s11
s11,12775,3452,21.0254403131115,21.4090019569472,3,3,red,10,5,32,26,bad_repair,s11
s11,5550,2315,19.3873873873874,4.77477477477478,1,1,red,3,3,1,2,bad_repair,s11
s11,16691,4046,13.4383799652507,16.296207536996,17,17,red,8,10,15,16,bad_repair,s11
s11,22184,2272,3.36729174179589,5.29210241615579,2,2,red,4,4,3,5,bad_repair,s11
s11,15852,4547,13.4935654806964,10.5412566237699,7,7,red,2,1,6,6,bad_repair,s11
s11,9078,1313,14.6508041418815,4.00969376514651,2,2,red,4,4,12,12,bad_repair,s11
s11,23695,3848,10.1498206372652,12.9689807976366,2,2,red,4,4,33,28,bad_repair,s11
s11,16396,2076,11.4784093681386,8.03854598682606,2,2,red,4,4,3,5,bad_repair,s11
s11,16719,4153,18.858783420061,23.9727256414857,0,0,red,0,0,0,4,bad_repair,s11
s11,11170,1271,10.0626678603402,1.99641897940913,2,2,red,4,4,12,12,bad_repair,s11
s11,3289,1191,7.96594709638188,34.8738218303436,3,3,red,5,5,7,11,bad_repair,s11
s11,22429,5708,23.2466895537028,4.08845690846672,9,9,red,6,6,11,8,bad_repair,s11
s11,21949,5860,6.66545172900816,6.29641441523532,9,9,red,6,6,11,8,bad_repair,s11
s11,3027,1328,8.85365047902213,24.2814667988107,3,3,red,5,5,7,11,bad_repair,s11
s11,13042,3744,15.7567857690538,22.4965496089557,3,3,red,0,17,28,25,bad_repair,s11
s11,15415,1551,5.96172559195589,4.85241647745702,2,2,red,4,4,3,5,bad_repair,s11
s11,24548,5163,13.3819455760143,27.5338113084569,0,0,red,1,2,2,1,bad_repair,s11
s11,4127,1754,18.1730070268961,9.44996365398595,17,17,red,8,10,15,16,bad_repair,s11
s11,9998,1627,7.35147029405881,2.1504300860172,2,2,red,4,4,3,5,bad_repair,s11
s11,18532,4304,21.2713144830563,20.7209151737535,0,0,red,1,2,2,1,bad_repair,s11
s11,7480,2974,7.40641711229947,11.1363636363636,7,7,red,2,11,18,18,bad_repair,s11
s11,12281,2406,17.1484406807263,6.88868984610374,2,2,red,5,4,10,5,bad_repair,s11
s11,6780,2829,15.2802359882006,14.7050147492625,8,8,red,0,0,0,4,bad_repair,s11
s11,13332,1749,9.7959795979598,5.16801680168017,2,2,red,4,4,12,12,bad_repair,s11
s11,3649,1117,18.4708139216224,31.1866264730063,21,21,red,8,12,19,19,bad_repair,s11
s11,9313,2999,13.2932460002148,22.9678943412434,0,0,red,0,0,5,0,bad_repair,s11
s11,8755,3331,10.43974871502,11.4563106796117,1,1,red,3,3,1,2,bad_repair,s11
s11,30286,6707,24.2158092848181,13.00600937727,0,0,red,0,0,0,4,bad_repair,s11
s11,22409,2268,2.4900709536347,5.6048908920523,2,2,red,4,4,3,5,bad_repair,s11
s11,5251,1526,11.5406589221101,38.0118072748048,21,21,red,8,12,19,19,bad_repair,s11
s11,20570,1994,3.64122508507535,6.00388915896937,2,2,red,4,4,12,12,bad_repair,s11
s11,20954,1783,5.26868378352582,3.98969170564093,2,2,red,4,4,3,5,bad_repair,s11
s11,18264,1671,4.27069645203679,3.33442838370565,2,2,red,4,4,12,12,bad_repair,s11
s11,9601,3150,20.2270596812832,18.2376835746276,0,0,red,0,17,28,25,bad_repair,s11
s11,40844,6609,17.4713544217021,23.7733816472432,0,0,red,1,2,2,1,bad_repair,s11
s11,5259,1430,10.5343221144704,40.3688914242251,21,21,red,8,12,19,19,bad_repair,s11
s11,7591,1216,9.89329469108154,3.2538532472665,2,2,red,4,4,3,5,bad_repair,s11
s11,17155,4230,21.9994170795686,20.9385018944914,0,0,red,0,0,0,4,bad_repair,s11
s11,9337,1502,7.01510121023884,8.72871371961015,2,2,red,4,4,3,5,bad_repair,s11
s11,5974,2593,23.6859725477067,7.58285905590894,3,3,red,10,5,0,26,bad_repair,s11
s11,78223,9432,16.3123378034593,21.7186760927093,9,9,red,6,6,17,15,bad_repair,s11
s11,3166,1509,9.63360707517372,17.0246367656349,3,3,red,5,5,7,11,bad_repair,s11
s11,2468,1283,19.5299837925446,5.26742301458671,5,5,red,7,7,9,7,bad_repair,s11
s11,8846,2842,14.4585123219534,23.8186751073932,0,0,red,0,0,0,0,bad_repair,s11
s11,14055,2007,6.93703308431163,9.44147990039132,2,2,red,4,4,3,5,bad_repair,s11
s11,4337,1486,16.6013373299516,16.6013373299516,27,27,red,8,17,28,25,bad_repair,s11
s11,47720,8045,11.3411567476949,6.21332774518022,9,9,red,6,6,11,8,bad_repair,s11
s11,21012,5224,18.4085284599277,5.37787930706263,9,9,red,6,6,11,8,bad_repair,s11
s11,5614,2114,14.7488421802636,13.6978981118632,5,5,red,7,7,9,7,bad_repair,s11
s11,5564,2480,16.9482386772106,6.23652048885694,1,1,red,3,3,1,2,bad_repair,s11
s11,3719,1025,17.3164829255176,3.22667383705297,2,2,red,4,4,3,5,bad_repair,s11
s11,3758,1258,12.6130920702501,32.1181479510378,3,3,red,5,5,7,11,bad_repair,s11
s11,92270,9332,14.8737401105451,23.8278963910263,0,0,red,1,2,2,1,bad_repair,s11
s11,26375,6503,5.63791469194313,7.58672985781991,9,9,red,6,6,11,8,bad_repair,s11
s11,4479,2210,12.5697700379549,8.10448760884126,7,7,red,2,1,4,3,bad_repair,s11
s11,14992,4734,7.017075773746,6.83697972251868,9,9,red,6,6,11,8,bad_repair,s11
s11,13673,4363,23.8645505741242,3.81042931324508,9,9,red,6,6,11,8,bad_repair,s11
s11,13460,1631,6.35958395245171,2.22882615156018,2,2,red,4,4,12,12,bad_repair,s11
s11,2421,1198,19.9504337050805,12.5154894671623,3,3,red,3,5,10,10,bad_repair,s11
s11,4315,1949,18.1460023174971,7.41599073001159,1,1,red,3,3,1,2,bad_repair,s11
s11,12873,3350,13.0971801444885,25.2233356637924,0,0,red,1,2,2,1,bad_repair,s11
s11,34606,6114,15.4048430907935,24.3917239785008,0,0,red,1,2,2,1,bad_repair,s11
s11,10298,3015,17.5082540299087,22.6451738201593,0,0,red,0,0,5,0,bad_repair,s11
s11,19313,1796,3.51576658209496,3.81090457204992,2,2,red,4,4,12,12,bad_repair,s11
s11,16369,1903,6.80554707068239,3.72044718675545,2,2,red,4,4,3,5,bad_repair,s11
s11,2991,1474,19.8261451019726,9.82948846539619,3,3,red,5,5,28,25,bad_repair,s11
s11,10234,2817,13.3476646472543,24.2720343951534,0,0,red,0,0,5,0,bad_repair,s11
s11,15829,2115,6.15958051677301,8.44652220607745,2,2,red,4,4,12,12,bad_repair,s11
s11,8275,2374,20.5317220543807,21.1842900302115,0,0,red,0,0,0,0,bad_repair,s11
s11,20690,2030,2.40212663122281,7.46254229096182,2,2,red,4,4,3,5,bad_repair,s11
s11,2412,1026,7.66998341625207,29.6019900497512,3,3,red,5,5,7,11,bad_repair,s11
s11,14211,1503,4.34874393075786,7.26198015621702,2,2,red,4,4,3,5,bad_repair,s11
s11,27530,6053,16.8688703232837,20.9771158735924,0,0,red,0,0,0,4,bad_repair,s11
s11,53746,7501,14.2391991962193,25.8940200200945,0,0,red,1,2,2,1,bad_repair,s11
s11,3474,1412,13.1836499712147,22.1358664363846,3,3,red,5,5,7,11,bad_repair,s11
s11,17462,1579,3.3902187607376,4.97079372351392,2,2,red,4,4,12,12,bad_repair,s11
s11,5362,1765,23.5732935471839,12.6258858634838,17,17,red,8,10,15,16,bad_repair,s11
s11,17564,2395,5.42017763607379,11.2616716010021,2,2,red,4,4,3,5,bad_repair,s11
s11,21236,3516,8.96119796571859,7.11998493124882,29,29,red,3,19,1,30,bad_repair,s11
s11,7594,2497,15.1567026599947,25.19094021596,0,0,red,0,0,0,0,bad_repair,s11
s11,3856,1557,20.9802904564315,9.28423236514523,5,5,red,7,7,9,7,bad_repair,s11
s11,25381,1921,4.9761632717387,5.32287931917576,2,2,red,4,4,12,12,bad_repair,s11
s11,5836,1687,12.6456477039068,18.9170664838931,17,17,red,8,10,15,16,bad_repair,s11
s11,17908,5214,22.4927406745589,8.33705606432879,9,9,red,6,6,11,8,bad_repair,s11
s11,27892,5915,20.9092212820881,17.0192169797792,0,0,red,0,0,0,4,bad_repair,s11
s11,3355,1187,8.76304023845007,28.7928464977645,3,3,red,5,5,7,11,bad_repair,s11
s11,15740,1463,5.29860228716646,8.06226175349428,2,2,red,4,4,3,5,bad_repair,s11
s11,4214,1352,15.9468438538206,15.2586616041766,17,17,red,8,10,15,16,bad_repair,s11
s11,22507,1688,3.41671479984005,6.07366597058693,2,2,red,4,4,12,12,bad_repair,s11
s11,2988,1149,10.3413654618474,27.4096385542169,3,3,red,5,5,7,11,bad_repair,s11
s11,4513,1629,23.3547529359628,13.4943496565478,3,3,red,5,5,7,11,bad_repair,s11
s11,9364,3147,10.017086715079,15.3566851772747,1,1,red,3,3,1,2,bad_repair,s11
s11,65150,7798,14.6446661550269,12.4574059861857,14,14,red,9,8,8,9,bad_repair,s11
s11,6976,2723,11.1238532110092,8.98795871559633,1,1,red,3,3,1,2,bad_repair,s11
s11,49360,7435,8.22933549432739,25.5773905996759,0,0,red,1,2,8,1,bad_repair,s11
s11,16822,1480,9.90964213529901,3.40625371537273,2,2,red,4,4,3,5,bad_repair,s11
s11,24111,2126,2.70001244245365,3.6622288581975,2,2,red,4,4,12,12,bad_repair,s11
s11,6449,2645,22.1429679020003,10.2186385486122,0,0,red,0,0,0,4,bad_repair,s11
s11,3031,1251,14.2857142857143,24.084460574068,3,3,red,5,5,7,11,bad_repair,s11
s11,105262,8464,18.091049001539,30.3195835154187,0,0,red,1,2,14,1,bad_repair,s11
s11,2503,1061,11.6260487415102,19.4566520175789,3,3,red,5,5,10,10,bad_repair,s11
s11,8885,3299,5.90883511536297,12.718064153067,1,1,red,3,3,1,2,bad_repair,s11
s11,22949,2027,8.36202013159615,6.26171074992374,2,2,red,4,4,12,12,bad_repair,s11
s11,13088,2151,13.0577628361858,6.63966992665037,2,2,red,4,4,3,5,bad_repair,s11
s11,11553,3645,9.27031939755907,16.7402406301394,5,5,red,7,7,9,7,bad_repair,s11
s11,4149,1950,24.4155218124849,5.32658471920945,0,0,red,0,0,0,4,bad_repair,s11
s11,12084,3022,12.214498510427,21.7560410460113,0,0,red,0,0,0,0,bad_repair,s11
s11,2781,1519,20.9636821287307,2.1215390147429,1,1,red,3,3,1,2,bad_repair,s11
s11,21802,1859,3.19695440785249,5.5407760755894,2,2,red,4,4,12,12,bad_repair,s11
s11,5551,2242,8.19672131147541,8.59304629796433,1,1,red,3,3,1,2,bad_repair,s11
s11,7823,1947,10.0856448932635,15.5183433465422,2,2,red,4,4,12,5,bad_repair,s11
s11,15814,4315,15.0309852029847,23.0871379790059,3,3,red,10,5,32,26,bad_repair,s11
s11,66375,8188,21.8033898305085,23.1834274952919,0,0,red,1,2,2,1,bad_repair,s11
s11,6525,1670,19.9386973180077,16.2911877394636,17,17,red,8,10,15,16,bad_repair,s11
s11,12216,3339,16.0445317616241,26.0314341846758,0,0,red,0,0,5,0,bad_repair,s11
s11,16209,3458,10.4139675488926,12.474551175273,2,2,red,4,4,33,28,bad_repair,s11
s11,3562,1913,8.30993823694554,5.78326782706345,1,1,red,3,3,1,2,bad_repair,s11
s11,14096,3648,15.0326333711691,26.3479001135074,0,0,red,1,2,2,1,bad_repair,s11
s11,24038,2414,3.65255012896248,8.61552541808803,2,2,red,4,4,3,5,bad_repair,s11
s11,31335,6338,23.0955800223392,5.20504228498484,9,9,red,6,6,11,8,bad_repair,s11
s11,19226,1537,4.11942161656091,6.75127431603038,2,2,red,4,4,3,5,bad_repair,s11
s11,22821,3614,5.04798212172999,14.8547390561325,15,15,red,9,9,14,14,bad_repair,s11
s11,7961,1360,13.0762467026755,3.12774777038061,2,2,red,4,4,3,5,bad_repair,s11
s11,7201,1087,10.1235939452854,2.61074850715178,2,2,red,4,4,3,5,bad_repair,s11
s11,23373,5241,19.1417447482138,22.1837162537971,0,0,red,1,2,2,1,bad_repair,s11
s11,14597,1679,5.91217373432897,4.12413509625265,2,2,red,4,4,12,12,bad_repair,s11
s11,17906,4839,8.48318999218139,12.0239026024796,1,1,red,3,7,9,7,bad_repair,s11
s11,19142,1923,3.92853411346777,10.2026956430885,2,2,red,4,4,3,5,bad_repair,s11
s11,26739,5107,16.1786155054415,3.64635925053293,9,9,red,6,6,11,15,bad_repair,s11
s11,20587,1756,3.57021421285277,5.46947102540438,2,2,red,4,4,3,5,bad_repair,s11
s11,8839,2622,17.694309311008,25.4440547573255,0,0,red,0,0,0,0,bad_repair,s11
s11,9407,2354,22.8446901243755,4.60295524609334,2,2,red,4,4,12,12,bad_repair,s11
s11,3099,1064,18.3930300096805,29.4933849628913,3,3,red,5,5,7,11,bad_repair,s11
s11,24489,3769,10.3107517660991,12.9037527052963,2,2,red,4,4,33,28,bad_repair,s11
s11,14370,4311,2.15031315240084,8.74739039665971,9,9,red,6,6,11,8,bad_repair,s11
s11,12247,3632,16.8041152935413,15.9141014125908,1,1,red,3,3,1,19,bad_repair,s11
